Grade,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio
6,1,1,16.67,0,1.8,3
6,2,1,16.67,0,4,5
6,1,1,16.67,0,3.8,4.6
6,1,1,16.67,0,4.8,5.4
6,1,1,16.67,0,3.8,3
6,2,1,16.67,0,4.2,4.2
6,1,1,16.67,0,3.6,4.2
6,1,1,16.67,0,4.2,3.8
6,1,1,16.67,0,4.2,3.6
6,1,1,16.67,0,5.6,5.2
6,1,1,16.67,0,4.4,5.4
6,1,1,16.67,0,4.8,4.4
6,1,1,16.67,0,3.6,4.2
3,1,1,8.7,26.08,4.4,3.8
3,2,2,8.7,26.08,3,3.6
3,1,1,8.7,26.08,2.2,2
3,1,1,8.7,26.08,3,2.6
3,1,1,8.7,26.08,3,2.2
3,1,1,8.7,26.08,5,4.8
3,1,1,8.7,26.08,2,1.6
3,1,1,8.7,26.08,4.4,5.4
3,2,1,8.7,26.08,4.4,3.2
3,1,2,8.7,26.08,3.4,3.4
3,1,1,8.7,26.08,2.8,2.8
3,1,1,8.7,26.08,4.4,4.4
3,1,1,8.7,26.08,3.2,3.6
3,1,1,8.7,26.08,3.4,3
3,1,2,8.7,26.08,3,2.8
3,1,2,8.7,26.08,3.8,3.4
3,1,2,8.7,26.08,3,3.2
3,1,1,8.7,26.08,3.4,4
3,1,1,8.7,26.08,4.2,3.8
3,1,1,8.7,26.08,4.6,5
3,1,2,8.7,26.08,4.6,5
3,1,1,8.7,26.08,3.8,4
3,1,1,8.7,26.08,4.2,3.4
4,1,1,8.7,13.04,3.2,3.2
4,2,1,8.7,13.04,4,4
4,1,1,8.7,13.04,4.4,4.6
4,1,1,8.7,13.04,4.4,3.6
4,1,1,8.7,13.04,1.8,2.2
4,1,1,8.7,13.04,2.6,2.6
4,1,1,8.7,13.04,4.6,4.2
4,1,1,8.7,13.04,2.6,3.2
4,1,2,8.7,13.04,4.8,4.2
4,1,1,8.7,13.04,4.4,4.6
4,1,1,8.7,13.04,3,3
4,1,1,8.7,13.04,3.6,3.6
4,1,1,8.7,13.04,3.2,3.4
4,1,1,8.7,13.04,3,3.8
4,1,2,8.7,13.04,2.8,3.2
4,1,1,8.7,13.04,3,3.6
4,1,1,8.7,13.04,3.8,3.8
4,1,1,8.7,13.04,3.6,3.4
4,1,1,8.7,13.04,2.4,2.6
4,1,1,8.7,13.04,4.2,5
4,1,1,8.7,13.04,3.2,2.6
4,1,1,8.7,13.04,3.4,3.8
4,2,2,8.7,13.04,3.6,3.8
5,2,1,13.64,4.55,1,2
5,1,2,13.64,4.55,2.4,1
5,1,1,13.64,4.55,5.8,5.6
5,1,1,13.64,4.55,2.8,3.2
5,1,1,13.64,4.55,3.2,3
5,1,1,13.64,4.55,4.4,3.8
5,1,1,13.64,4.55,4.6,4.4
5,1,1,13.64,4.55,5,3.2
5,2,1,13.64,4.55,4,3.4
5,2,1,13.64,4.55,5,4.2
5,1,1,13.64,4.55,3.2,2.2
5,1,1,13.64,4.55,3.8,4
5,1,1,13.64,4.55,5.4,3.6
5,1,1,13.64,4.55,3.2,3
5,1,1,13.64,4.55,3.8,4
5,1,1,13.64,4.55,2.6,2.6
5,1,1,13.64,4.55,5.8,4.8
5,1,1,13.64,4.55,4.8,3.8
5,1,1,13.64,4.55,5.4,5.2
5,1,1,13.64,4.55,4,3.2
5,1,1,13.64,4.55,3.8,3.4
5,1,1,13.64,4.55,3,3
5,1,2,26.09,26.09,2,1.8
5,2,2,26.09,26.09,2.6,3.2
5,1,2,26.09,26.09,5.8,5.8
5,2,2,26.09,26.09,2.4,2
5,1,2,26.09,26.09,4.2,3.2
5,1,1,26.09,26.09,5.2,4.4
5,1,1,26.09,26.09,4,3.4
5,1,1,26.09,26.09,3,4.2
5,1,1,26.09,26.09,2.8,2
5,1,1,26.09,26.09,5.6,5.4
5,1,1,26.09,26.09,2,3
5,1,1,26.09,26.09,5.4,5.4
5,1,1,26.09,26.09,4,4.2
5,2,1,26.09,26.09,3,4.4
5,2,1,26.09,26.09,3.8,5
5,2,1,26.09,26.09,2.2,3
5,1,1,26.09,26.09,3.6,3
5,1,1,26.09,26.09,4,4.4
5,2,1,26.09,26.09,5,5.4
5,1,1,26.09,26.09,3,3.6
5,1,1,26.09,26.09,3.4,3.4
5,1,1,26.09,26.09,6,5.8
5,1,1,26.09,26.09,4.8,5
6,2,1,10,15,3,3.2
6,1,2,10,15,3.6,3.8
6,1,1,10,15,3.4,3.6
6,1,2,10,15,3,3.6
6,1,1,10,15,4.6,4
6,1,1,10,15,4,2.2
6,1,1,10,15,3.8,3.4
6,1,2,10,15,3,3.2
6,1,1,10,15,1.4,2.4
6,1,1,10,15,3.8,3.2
6,1,1,10,15,5,4.6
6,1,1,10,15,3,2.8
6,1,1,10,15,1.6,2.8
6,1,1,10,15,4.6,3.8
6,1,1,10,15,4,3.4
6,1,1,10,15,3,3.6
6,1,1,10,15,3.6,3.6
6,1,1,10,15,3.4,3.4
6,1,1,10,15,3,3.2
6,2,1,10,15,2.8,2.6
3,1,1,8.7,4.35,2.2,2.6
3,1,1,8.7,4.35,3.8,3.6
3,2,1,8.7,4.35,5,3.6
3,1,1,8.7,4.35,5,4
3,1,1,8.7,4.35,3.6,3.2
3,2,1,8.7,4.35,3.2,3.2
3,1,1,8.7,4.35,2.6,3.2
3,1,1,8.7,4.35,4.6,4.4
3,1,1,8.7,4.35,3.6,4.2
3,1,1,8.7,4.35,3.8,2.8
3,1,1,8.7,4.35,4.6,3.8
3,1,1,8.7,4.35,3.8,3.6
3,1,1,8.7,4.35,3.8,3.4
3,1,1,8.7,4.35,2.4,2.6
3,1,1,8.7,4.35,4.4,4.2
3,1,1,8.7,4.35,2.8,3.2
3,1,1,8.7,4.35,3,2.6
3,1,1,8.7,4.35,3.2,3.4
3,1,1,8.7,4.35,4,4
3,1,1,8.7,4.35,2.6,3
3,1,1,8.7,4.35,4.4,4.2
3,1,1,8.7,4.35,3.2,3.8
3,1,2,8.7,4.35,2.6,2.8
3,1,1,14.29,4.76,3.4,3.2
3,1,1,14.29,4.76,4.6,4.4
3,1,1,14.29,4.76,2.2,2.6
3,1,1,14.29,4.76,2.6,3.2
3,1,1,14.29,4.76,4.8,4.6
3,1,1,14.29,4.76,3.2,4.2
3,1,1,14.29,4.76,2.8,2
3,1,1,14.29,4.76,3.6,4
3,2,1,14.29,4.76,2.6,3.2
3,1,1,14.29,4.76,3.4,4.8
3,1,1,14.29,4.76,3.2,4.2
3,1,1,14.29,4.76,6,4.8
3,1,1,14.29,4.76,3.8,5
3,1,1,14.29,4.76,4.2,4.2
3,1,1,14.29,4.76,2.8,4.6
3,2,2,14.29,4.76,3.2,2.4
3,1,1,14.29,4.76,4.4,4.4
3,1,1,14.29,4.76,4.8,4
3,1,1,14.29,4.76,5,4.8
3,2,1,14.29,4.76,4.2,5
3,1,1,14.29,4.76,5.6,5.2
4,1,1,27.27,9.1,3.8,3.2
4,2,2,27.27,9.1,3.8,3.2
4,1,1,27.27,9.1,4.2,3.6
4,1,1,27.27,9.1,4.6,4.2
4,1,1,27.27,9.1,1.8,2.6
4,2,1,27.27,9.1,4,3.4
4,1,1,27.27,9.1,5,4.8
4,1,1,27.27,9.1,4.4,4.4
4,1,1,27.27,9.1,4,3.8
4,1,1,27.27,9.1,3.2,3
4,1,1,27.27,9.1,3.2,3.2
4,1,1,27.27,9.1,5,5
4,1,1,27.27,9.1,6,5.4
4,1,1,27.27,9.1,3.4,3
4,2,1,27.27,9.1,4.6,4.8
4,1,2,27.27,9.1,3.6,4
4,2,1,27.27,9.1,2,2.4
4,1,1,27.27,9.1,2.8,3
4,1,1,27.27,9.1,5.4,5.4
4,2,1,27.27,9.1,4,4.8
4,2,1,27.27,9.1,2.4,3.4
4,1,1,27.27,9.1,4.6,4.8
4,1,1,23.8,0,3.2,3.2
4,1,1,23.8,0,2.8,3.8
4,2,1,23.8,0,3.6,1.8
4,1,1,23.8,0,2.6,1.8
4,1,1,23.8,0,3.6,3.6
4,2,1,23.8,0,3.2,3.8
4,2,1,23.8,0,2.6,2.6
4,2,1,23.8,0,3,3.8
4,2,1,23.8,0,1.6,2.8
4,1,1,23.8,0,2.6,2.2
4,1,1,23.8,0,2.4,3.8
4,1,1,23.8,0,2.6,2.6
4,1,1,23.8,0,3,3.2
4,1,1,23.8,0,2.6,3.8
4,1,1,23.8,0,2.4,2.4
4,1,1,23.8,0,3.4,3.4
4,1,1,23.8,0,3.8,3.6
4,1,1,23.8,0,3.8,3.8
4,1,1,23.8,0,2.8,3.4
4,1,1,23.8,0,4,3.6
4,1,1,23.8,0,2.8,1.8
5,1,1,23.8,9.5,3.8,3.4
5,1,1,23.8,9.5,1.6,2.6
5,1,1,23.8,9.5,2.6,3.4
5,1,1,23.8,9.5,2.4,1.8
5,1,1,23.8,9.5,1.6,2.6
5,1,1,23.8,9.5,3.6,3.6
5,1,2,23.8,9.5,1.6,2.4
5,2,1,23.8,9.5,1.2,1.6
5,1,1,23.8,9.5,3.6,2.4
5,1,1,23.8,9.5,1.6,2
5,1,1,23.8,9.5,2.6,3.4
5,2,1,23.8,9.5,3.2,3.6
5,2,1,23.8,9.5,3.2,3.2
5,1,1,23.8,9.5,3,3.8
5,1,1,23.8,9.5,1.4,2.2
5,2,2,23.8,9.5,1.4,2.2
5,2,1,23.8,9.5,2.4,3.6
5,1,1,23.8,9.5,2.6,2.8
5,1,1,23.8,9.5,3.6,3.2
5,1,1,23.8,9.5,3.4,3.8
5,1,1,23.8,9.5,2.4,2.4
6,1,1,19.05,4.76,2.4,2
6,1,1,19.05,4.76,6,5.2
6,1,1,19.05,4.76,3,2.8
6,1,1,19.05,4.76,1.4,1.4
6,1,1,19.05,4.76,2.2,1.6
6,1,1,19.05,4.76,2.4,2.4
6,1,1,19.05,4.76,3,2.8
6,1,2,19.05,4.76,2.8,2.6
6,1,1,19.05,4.76,2,2.6
6,2,1,19.05,4.76,1.2,2
6,1,1,19.05,4.76,1.4,1.6
6,2,1,19.05,4.76,1.8,1.2
6,2,1,19.05,4.76,2.6,3
6,1,1,19.05,4.76,3.2,2.6
6,1,1,19.05,4.76,2.4,2.2
6,1,1,19.05,4.76,3.6,3.6
6,1,1,19.05,4.76,3.2,4
6,1,1,19.05,4.76,3.4,3.4
6,2,1,19.05,4.76,2,2.6
6,1,1,19.05,4.76,2.2,2.6
6,1,1,19.05,4.76,2.4,2.4
6,1,1,22.73,4.55,5.8,5
6,1,1,22.73,4.55,3.4,4.4
6,1,1,22.73,4.55,4.6,5
6,2,1,22.73,4.55,2.4,2.6
6,2,1,22.73,4.55,4.2,4.2
6,1,1,22.73,4.55,2.6,1.6
6,2,2,22.73,4.55,3.4,4
6,1,1,22.73,4.55,4.8,4.4
6,1,1,22.73,4.55,4,4
6,1,1,22.73,4.55,1.2,1.8
6,1,1,22.73,4.55,4.8,4.8
6,1,1,22.73,4.55,5.2,5
6,1,1,22.73,4.55,4.8,4.8
6,1,1,22.73,4.55,1.8,1.8
6,1,1,22.73,4.55,3.6,3.8
6,2,1,22.73,4.55,5,5
6,1,1,22.73,4.55,3.2,3.4
6,2,1,22.73,4.55,4.6,2.8
6,1,1,22.73,4.55,3,3
6,1,1,22.73,4.55,3.8,4.2
6,1,1,22.73,4.55,3.8,5.6
6,1,1,22.73,4.55,4.8,4.2
6,1,1,19.05,0,2.4,2.4
6,1,1,19.05,0,4.6,3.8
6,2,1,19.05,0,3.2,3.2
6,1,1,19.05,0,4.4,4.2
6,1,1,19.05,0,3.4,3.2
6,1,1,19.05,0,2.2,2
6,1,1,19.05,0,3.4,3.8
6,1,1,19.05,0,3,3
6,1,1,19.05,0,5,4.2
6,1,1,19.05,0,5,4.8
6,1,1,19.05,0,3,2.6
6,2,1,19.05,0,3.2,2.6
6,1,1,19.05,0,4,4.2
6,1,1,19.05,0,2.4,2.6
6,1,1,19.05,0,3,2.4
6,2,1,19.05,0,5,4.6
6,1,1,19.05,0,3,3.2
6,1,1,19.05,0,3.4,3.6
6,2,1,19.05,0,2.2,2.2
6,1,1,19.05,0,3.2,3
6,1,1,19.05,0,4.2,4.2
3,1,2,18.75,18.75,1.6,1.8
3,1,1,18.75,18.75,3.8,3
3,1,1,18.75,18.75,3.6,3.2
3,1,1,18.75,18.75,3.2,3.4
3,1,1,18.75,18.75,3.4,3.2
3,2,1,18.75,18.75,3.8,3
3,1,1,18.75,18.75,5,2.4
3,1,1,18.75,18.75,3,3
3,1,2,18.75,18.75,3.8,3
3,2,1,18.75,18.75,3,3.4
3,1,2,18.75,18.75,3.4,3
3,1,1,18.75,18.75,4,3.6
3,2,1,18.75,18.75,3.2,3.4
3,1,1,18.75,18.75,3.6,4.2
3,1,1,18.75,18.75,4.2,4.4
3,1,2,18.75,18.75,3.8,3
3,2,2,25,25,2.2,2.4
3,1,1,25,25,4,4
3,1,2,25,25,5.8,5.6
3,1,1,25,25,4.4,2.8
3,1,1,25,25,2.8,2.8
3,1,1,25,25,4,4
3,1,1,25,25,5.2,3.6
3,2,2,25,25,5.6,5.4
3,1,1,25,25,3.6,3
3,2,1,25,25,3.6,3
3,1,1,25,25,4.6,4
3,1,1,25,25,2,2.2
3,2,2,25,25,1.6,2.4
3,1,1,25,25,3.2,2.8
3,1,1,25,25,4,3.2
3,1,1,25,25,4.6,5
4,1,1,27.27,18.18,2.4,2.8
4,1,1,27.27,18.18,1.4,1.8
4,1,1,27.27,18.18,1.2,2.4
4,2,2,27.27,18.18,2.6,2.8
4,1,1,27.27,18.18,3,2.8
4,2,1,27.27,18.18,4.2,3.6
4,1,1,27.27,18.18,4.6,4.8
4,1,1,27.27,18.18,2,2
4,1,1,27.27,18.18,3.6,3.8
4,2,2,27.27,18.18,2.4,3
4,1,1,27.27,18.18,3.4,3
4,1,1,27.27,18.18,4.6,5.2
4,1,1,27.27,18.18,3.8,3.6
4,2,2,27.27,18.18,3.6,3.6
4,1,1,27.27,18.18,4.8,5
4,2,2,27.27,18.18,4.2,4.6
4,1,1,27.27,18.18,5.6,4.6
4,2,1,27.27,18.18,4.4,5.4
4,1,1,27.27,18.18,5.8,5
4,1,1,27.27,18.18,4.8,4.6
4,1,1,27.27,18.18,4.4,3
4,1,1,27.27,18.18,3.8,3.4
4,1,1,16.67,11.11,3.8,3.6
4,1,1,16.67,11.11,3.2,2.8
4,2,1,16.67,11.11,3.2,4.4
4,1,1,16.67,11.11,3.8,2.6
4,1,1,16.67,11.11,3.4,3.2
4,1,1,16.67,11.11,2.4,3.6
4,1,1,16.67,11.11,5.2,4.8
4,1,1,16.67,11.11,4,3
4,1,2,16.67,11.11,2.6,2.8
4,2,1,16.67,11.11,4.2,4.6
4,2,1,16.67,11.11,2.4,3.6
4,1,1,16.67,11.11,3.6,4
4,1,2,16.67,11.11,3.6,4.2
4,1,1,16.67,11.11,2.4,3
4,1,1,16.67,11.11,3.2,3.2
4,1,1,16.67,11.11,3.6,3
4,1,1,16.67,11.11,3.8,2.8
4,1,1,16.67,11.11,3.6,3.2
5,1,1,22.73,9.09,5,4
5,1,1,22.73,9.09,5.8,3.6
5,2,1,22.73,9.09,5.2,4.6
5,1,1,22.73,9.09,4,3.2
5,2,2,22.73,9.09,3,2.4
5,1,1,22.73,9.09,4.6,4.2
5,2,1,22.73,9.09,2.2,2.2
5,2,1,22.73,9.09,3.6,2.6
5,1,1,22.73,9.09,4,4
5,1,1,22.73,9.09,3.4,3.4
5,1,1,22.73,9.09,2.6,2.4
5,1,1,22.73,9.09,4.4,2.6
5,1,1,22.73,9.09,2.4,1.8
5,1,1,22.73,9.09,4.8,4.6
5,1,1,22.73,9.09,4.6,4.4
5,1,1,22.73,9.09,4.6,2.6
5,1,1,22.73,9.09,4.4,4.4
5,1,1,22.73,9.09,4.4,3.2
5,1,1,22.73,9.09,4.6,3.4
5,1,1,22.73,9.09,3.6,3.2
5,2,2,22.73,9.09,5.2,3.4
5,1,1,22.73,9.09,5.4,4.8
6,1,1,23.81,0,1.4,2.2
6,2,1,23.81,0,3,3
6,2,1,23.81,0,2.8,3
6,1,1,23.81,0,3,2.6
6,1,1,23.81,0,3,3
6,1,1,23.81,0,3.4,2
6,2,1,23.81,0,3.2,3
6,1,1,23.81,0,2.2,4.2
6,1,1,23.81,0,3.4,3
6,1,1,23.81,0,2,1.8
6,1,1,23.81,0,3.2,2.4
6,1,1,23.81,0,3,3
6,2,1,23.81,0,1.8,2.2
6,1,1,23.81,0,3.6,4
6,1,1,23.81,0,3.6,1.6
6,1,1,23.81,0,3,3.4
6,1,1,23.81,0,3.4,3
6,1,1,23.81,0,3.4,3.6
6,2,1,23.81,0,3,3.4
6,1,1,23.81,0,3.2,2.4
6,1,1,23.81,0,1.4,2.2
6,1,2,20,20,2.6,2.6
6,1,1,20,20,5.2,3.8
6,1,2,20,20,2.2,2.4
6,2,1,20,20,3.8,2.2
6,1,1,20,20,2.2,2.8
6,2,1,20,20,1.4,1.8
6,1,1,20,20,1,1.6
6,1,1,20,20,5.8,3.6
6,1,2,20,20,1.8,1.8
6,1,1,20,20,2.4,2.2
6,1,1,20,20,2.2,2
6,1,1,20,20,2.2,3
6,2,1,20,20,5.2,4.8
6,1,1,20,20,2.6,2.8
6,1,1,20,20,5.6,4.6
6,2,1,20,20,3.8,3.8
6,1,1,20,20,2.2,2.6
6,1,2,20,20,3.8,3
6,1,1,20,20,3.4,3.2
6,1,1,20,20,1.4,1.6
3,1,1,9.52,19.05,2.6,2.2
3,1,1,9.52,19.05,4,3.8
3,1,1,9.52,19.05,2.4,2.2
3,1,1,9.52,19.05,3.8,2.4
3,2,2,9.52,19.05,1.6,2.6
3,1,1,9.52,19.05,2.8,2.8
3,1,1,9.52,19.05,4,3.4
3,1,1,9.52,19.05,5.4,4
3,2,2,9.52,19.05,4.2,2.6
3,1,1,9.52,19.05,3.6,4
3,1,1,9.52,19.05,3.4,3
3,1,1,9.52,19.05,4.4,3.2
3,1,1,9.52,19.05,4.4,3.4
3,1,1,9.52,19.05,2.2,2.4
3,1,1,9.52,19.05,4.4,4
3,1,1,9.52,19.05,4.4,4.6
3,1,1,9.52,19.05,5,4.8
3,1,1,9.52,19.05,4.4,4.2
3,1,2,9.52,19.05,2.4,2.6
3,1,1,9.52,19.05,4.2,3.6
3,1,2,9.52,19.05,5.4,3.8
3,2,1,15,15,2.8,3
3,1,1,15,15,3.8,2.4
3,2,1,15,15,1.6,2
3,1,1,15,15,2.8,3
3,1,2,15,15,3.2,2
3,1,1,15,15,2.8,2.6
3,1,1,15,15,2.4,1.8
3,1,1,15,15,2,1.6
3,1,2,15,15,2.8,2.2
3,1,1,15,15,4.6,3.8
3,1,1,15,15,3.4,3.4
3,1,2,15,15,2,2.4
3,1,1,15,15,2,2.4
3,1,1,15,15,4.2,3.2
3,1,1,15,15,3.8,4
3,1,1,15,15,3,2.6
3,1,1,15,15,2,2
3,1,1,15,15,3.4,3.8
3,1,1,15,15,2.6,2
3,2,1,15,15,1.6,1.8
4,1,1,29.17,4.17,2.4,2.8
4,2,1,29.17,4.17,2.6,3.2
4,2,1,29.17,4.17,3.8,3.8
4,1,2,29.17,4.17,5.2,5.2
4,1,1,29.17,4.17,4.6,4.4
4,1,1,29.17,4.17,3.4,1.6
4,1,1,29.17,4.17,5.4,5.2
4,1,1,29.17,4.17,4,4.8
4,1,1,29.17,4.17,5,4
4,1,1,29.17,4.17,2.8,2.8
4,2,1,29.17,4.17,3,3
4,1,1,29.17,4.17,5.8,6
4,1,1,29.17,4.17,5.2,5.4
4,2,1,29.17,4.17,3,3
4,1,1,29.17,4.17,5.8,5.8
4,1,1,29.17,4.17,3.4,3.2
4,1,1,29.17,4.17,5,4.6
4,1,1,29.17,4.17,3.8,3.8
4,1,1,29.17,4.17,4,4.2
4,2,1,29.17,4.17,1.2,2.6
4,1,1,29.17,4.17,4.2,3.8
4,2,1,29.17,4.17,6,5.4
4,2,1,29.17,4.17,2.8,3.2
4,1,1,29.17,4.17,5.2,5.2
4,1,1,16,16,3.4,4
4,1,2,16,16,5,5
4,1,1,16,16,3.2,3.8
4,1,1,16,16,3.8,4.4
4,2,1,16,16,2.2,3
4,2,1,16,16,2.4,2.8
4,1,1,16,16,4.6,4.2
4,1,2,16,16,2.8,3.4
4,1,2,16,16,5,5
4,1,1,16,16,2.8,2.8
4,1,1,16,16,3,3.8
4,1,1,16,16,4.2,4.6
4,1,1,16,16,2.6,3.2
4,1,1,16,16,4.2,3.8
4,1,1,16,16,3.6,4.4
4,1,1,16,16,3.6,3.8
4,1,1,16,16,2.4,3.8
4,1,2,16,16,4.2,4.2
4,1,1,16,16,3,3
4,1,1,16,16,4,3.6
4,1,1,16,16,5,5
4,2,1,16,16,3.8,3.8
4,1,1,16,16,4.8,4.8
4,1,1,16,16,3.4,3.8
4,2,1,16,16,3,3
5,1,1,5,20,5.6,4.2
5,1,1,5,20,3.6,4.2
5,1,2,5,20,1.4,2
5,1,2,5,20,2.4,3.6
5,1,2,5,20,2.6,3.8
5,2,1,5,20,2.2,2.8
5,1,1,5,20,4,4.2
5,1,1,5,20,4.2,4.8
5,1,1,5,20,3.4,4.2
5,1,2,5,20,4.2,3.4
5,1,1,5,20,4.4,4.8
5,1,1,5,20,1.2,3
5,1,1,5,20,3.6,4.8
5,1,1,5,20,4.2,5
5,1,1,5,20,3.2,3.4
5,1,1,5,20,5.2,5.4
5,1,1,5,20,4,4.6
5,1,1,5,20,4.6,5.4
5,1,1,5,20,2.2,3.2
5,1,1,5,20,3.8,4
6,1,1,38.1,9.52,4.2,3.6
6,2,1,38.1,9.52,5,4.8
6,1,2,38.1,9.52,5,4.6
6,2,1,38.1,9.52,5.8,2.8
6,1,1,38.1,9.52,4.6,4.6
6,1,1,38.1,9.52,3.4,3
6,2,1,38.1,9.52,3,2.2
6,1,1,38.1,9.52,2.6,3
6,1,1,38.1,9.52,3,3.4
6,2,1,38.1,9.52,1.6,2.4
6,2,1,38.1,9.52,5,5.2
6,1,1,38.1,9.52,2.6,3.2
6,1,1,38.1,9.52,4.8,4.6
6,1,1,38.1,9.52,3.4,3.2
6,1,1,38.1,9.52,5,4
6,2,1,38.1,9.52,2.6,3
6,2,1,38.1,9.52,4.6,4.2
6,1,1,38.1,9.52,5,4.8
6,1,1,38.1,9.52,4,4.2
6,2,1,38.1,9.52,3.8,4.4
6,1,2,38.1,9.52,3,3
6,1,1,30,5,5.6,3.8
6,1,1,30,5,2.4,2.2
6,2,1,30,5,1.2,1.8
6,2,1,30,5,2.6,3.4
6,1,1,30,5,4.4,4.2
6,2,1,30,5,1.4,1.6
6,2,1,30,5,1.8,2.6
6,1,1,30,5,3.2,4
6,2,1,30,5,4.2,4.8
6,1,1,30,5,4.6,3.8
6,1,1,30,5,3.8,2.8
6,1,1,30,5,4.6,4.8
6,1,1,30,5,5,4.4
6,1,1,30,5,2.8,2.8
6,1,1,30,5,4.4,4
6,1,1,30,5,2.8,2
6,1,1,30,5,4.6,5.2
6,1,2,30,5,3.2,3.6
6,2,1,30,5,3.6,4.8
6,1,1,30,5,3,3.8