School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Cluster,Gifted
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.685363426,0.522471667,10,0
1,1,1,40.0,2.0,6,20,1,2,5.0,10.0,0.204406636,0.522471667,5,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-1.238463734,-1.067659494,2,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.276550154,0.295310073,11,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.517028549,-0.613336305,12,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,2.128233796,0.522471667,9,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-1.478942129,-1.749144277,7,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.997985339,0.749633262,11,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.517028549,-0.613336305,12,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.517028549,-0.613336305,12,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.444885031,-0.613336305,4,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.517028549,-0.159013116,0,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,1.406798611,1.65827964,6,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.685363426,0.749633262,1,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.925841821,1.65827964,13,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.685363426,0.522471667,10,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.444885031,0.749633262,1,0
1,1,1,40.0,2.0,6,20,2,1,5.0,10.0,-1.238463734,-1.521982683,7,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.925841821,0.522471667,10,0
1,1,1,40.0,2.0,6,20,1,2,5.0,10.0,-1.238463734,-1.521982683,7,0
1,2,2,20.0,0.0,4,19,2,1,15.78,5.26,0.243285206,-0.920349632,4,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.783918998,-0.434609548,17,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.756887308,0.294000577,10,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,3.324897818,0.051130535,9,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.243285206,1.994090869,13,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.013515845,0.536870619,5,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.270316896,0.536870619,11,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.527117947,-0.920349632,8,0
1,2,2,20.0,0.0,4,19,2,1,15.78,5.26,-0.527117947,-0.434609548,12,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-1.040720049,-1.163219674,2,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-1.2975211,-1.648959757,7,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.013515845,1.508350786,15,0
1,2,2,20.0,0.0,4,19,1,2,15.78,5.26,-0.270316896,-0.191739507,0,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.500086257,0.294000577,10,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.783918998,0.294000577,11,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.756887308,0.536870619,10,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.243285206,1.508350786,15,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.783918998,-1.406089716,8,0
1,2,2,20.0,0.0,4,19,2,1,15.78,5.26,0.243285206,-0.434609548,4,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,2.077745633,0.622978026,9,0
1,3,3,20.0,0.0,6,21,2,2,19.05,9.52,0.384537998,0.967255357,15,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,0.64503148,1.311532687,13,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,1.817252151,0.450839361,9,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.787682673,-0.2377153,17,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.787682673,-1.442685956,8,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-1.178422896,-1.098408625,2,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,0.905524962,1.827948683,13,0
1,3,3,20.0,0.0,6,21,1,2,19.05,9.52,-0.917929414,-1.786963286,7,0
1,3,3,20.0,0.0,6,21,2,1,19.05,9.52,-1.048176155,-1.098408625,2,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.787682673,-0.409853965,17,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,0.384537998,-0.58199263,4,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-1.178422896,-0.92626996,2,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,1.166018445,1.311532687,13,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.396942449,-0.065576634,0,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-1.048176155,-0.754131295,2,0
1,3,3,20.0,0.0,6,21,2,1,19.05,9.52,-0.396942449,-0.065576634,0,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.006202226,0.278700696,5,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.396942449,-0.065576634,0,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,1.035771704,0.450839361,10,0
1,3,3,20.0,0.0,6,21,2,1,19.05,9.52,0.514784739,1.311532687,15,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,1.557936332,0.605877851,9,0
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-1.059396706,-0.964916577,2,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,1.819669636,1.234195622,6,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.772736421,-0.02243992,10,0
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-0.535930098,0.291718965,11,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,-0.143330143,-0.336598806,0,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,1.165336376,0.291718965,10,0
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-1.190263358,-0.336598806,17,0
1,4,4,40.0,2.0,5,21,1,2,33.33,4.76,-0.274196794,-1.279075463,8,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.772736421,0.605877851,1,0
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-0.66679675,-1.436154906,8,0
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-1.059396706,-0.179519363,17,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,-1.190263358,-0.493678249,17,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.772736421,1.705433951,13,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,-0.012463491,-0.02243992,0,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.903603073,1.548354508,13,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,-1.451996661,-1.907393234,7,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.772736421,1.548354508,13,0
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-0.797663402,-0.807837135,8,0
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-0.797663402,-0.493678249,17,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.641869769,0.448798408,10,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.68103666,1.432968885,6,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.001468649,-0.194696859,10,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.409209455,1.432968885,6,0
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,-0.08584017,-0.046727246,0,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,-0.901321784,-0.342666472,17,0
1,5,5,30.0,1.0,5,20,1,2,36.84,5.2,-0.765408181,-1.082514538,8,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,0.321900637,0.841090432,15,0
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,-1.444976193,-1.822362603,7,0
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,-1.444976193,-1.082514538,2,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.001468649,1.432968885,13,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.137382251,1.137029659,1,0
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,-0.357667374,-0.342666472,12,0
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,-0.357667374,-0.638605699,12,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,0.865555046,1.137029659,1,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,-0.221753772,-0.194696859,0,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,-0.08584017,-0.342666472,0,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,-1.037235386,-0.934544925,2,0
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,-1.309062591,-0.934544925,2,0
1,5,5,30.0,1.0,5,20,2,1,36.84,5.2,0.593727842,0.545151206,10,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.986008239,0.373234784,10,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,-1.297379262,-1.216023005,2,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.300991989,1.432739976,15,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,-0.840701762,-1.216023005,8,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,-1.525718012,-1.745775601,7,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,-0.612363012,-1.216023005,8,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,-1.525718012,-1.216023005,14,0
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,0.072653239,0.373234784,5,0
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,1.442685739,0.90298738,9,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.529330739,-0.156517813,4,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.300991989,-0.156517813,4,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.757669489,0.90298738,1,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,1.442685739,1.697616274,6,0
2,1,6,40.0,2.0,3,22,2,2,13.64,77.27,-1.069040512,-0.951146707,2,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.986008239,0.638111082,1,0
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,0.757669489,1.167863678,1,0
2,1,6,40.0,2.0,3,22,2,2,13.64,77.27,1.214346989,0.108358486,10,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.072653239,0.373234784,5,0
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,-0.384024262,-0.156517813,0,0
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,0.072653239,1.167863678,15,0
2,1,6,40.0,2.0,3,22,2,2,13.64,77.27,0.072653239,-0.156517813,0,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,-1.754056762,-0.951146707,14,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,0.334441695,0.424294619,5,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,-0.47675731,-0.704329068,12,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,-1.152756482,-1.026792978,2,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,-0.882356813,-1.510488844,7,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,-0.071157808,-0.220633202,0,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,-1.42315615,-2.155416665,7,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,-0.747156979,-0.704329068,8,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,0.875241032,1.06922244,1,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,0.46964153,0.424294619,5,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,1.145640701,1.06922244,1,0
2,2,7,40.0,2.0,3,19,2,2,5.26,63.15,-1.693555819,-1.026792978,14,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,-1.017556647,0.101830709,17,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,0.875241032,0.746758529,1,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,-0.071157808,0.585526574,5,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,1.010440867,1.06922244,1,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,1.41604037,1.06922244,9,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,-0.341557476,-0.704329068,12,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,0.064042027,0.263062664,5,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,1.686440038,1.230454395,6,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,0.167705098,-0.361063595,4,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-1.00623059,-0.949081449,2,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-1.173935688,-0.753075497,2,0
2,3,8,50.0,2.0,4,19,1,1,10.53,78.95,0.503115295,0.030948308,10,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-1.173935688,-1.1450874,2,0
2,3,8,50.0,2.0,4,19,1,1,10.53,78.95,1.00623059,0.030948308,10,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,0.670820393,1.402989967,13,0
2,3,8,50.0,2.0,4,19,1,1,10.53,78.95,-0.167705098,0.030948308,0,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,0.670820393,0.422960211,10,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-0.335410197,-0.165057643,0,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-0.335410197,0.030948308,0,0
2,3,8,50.0,2.0,4,19,2,2,10.53,78.95,-0.503115295,-0.557069546,12,0
2,3,8,50.0,2.0,4,19,1,1,10.53,78.95,-0.167705098,-0.557069546,12,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-0.167705098,-0.557069546,12,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,2.180166278,2.187013773,6,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-0.838525492,-0.753075497,8,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,2.180166278,2.383019724,6,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-0.503115295,0.226954259,11,0
2,3,8,50.0,2.0,4,19,2,2,10.53,78.95,-1.00623059,-0.949081449,2,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,-1.162384532,-1.659517093,7,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,-1.472353741,-1.927181141,7,0
2,4,9,40.0,2.0,5,20,1,1,5.0,70.0,-0.542446115,-0.588860904,12,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,-1.162384532,-1.124188999,2,0
2,4,9,40.0,2.0,5,20,2,1,5.0,70.0,1.627338345,0.481795285,9,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,-1.472353741,-1.124188999,2,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,0.077492302,-0.588860904,4,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,0.077492302,-0.588860904,4,0
2,4,9,40.0,2.0,5,20,1,1,5.0,70.0,0.387461511,-0.053532809,4,0
2,4,9,40.0,2.0,5,20,1,1,5.0,70.0,0.077492302,-0.321196857,4,0
2,4,9,40.0,2.0,5,20,1,1,5.0,70.0,0.697430719,0.481795285,10,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,1.317369136,1.284787427,6,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,0.077492302,1.01712338,15,0
2,4,9,40.0,2.0,5,20,1,1,5.0,70.0,0.077492302,1.01712338,15,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,0.077492302,0.481795285,5,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,1.627338345,1.552451475,6,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,1.317369136,1.284787427,6,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,-0.232476906,0.214131238,0,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,-1.472353741,-0.321196857,17,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,0.077492302,0.481795285,5,0
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,0.453440424,-0.948430359,4,0
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,1.889335099,1.276282829,6,0
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,1.171387762,1.276282829,13,0
2,5,10,20.0,0.0,6,19,2,1,15.79,42.1,-2.238862093,-1.615844316,3,0
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,0.273953589,0.163926235,5,0
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,0.453440424,-0.281016403,4,0
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,-1.161941086,-1.170901678,2,0
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,-0.085020079,-0.72595904,12,0
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,0.632927258,0.608868873,1,0
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,-0.623480583,-1.170901678,8,0
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,0.812414093,0.163926235,10,0
2,5,10,20.0,0.0,6,19,2,1,15.79,42.1,0.632927258,1.498754148,13,0
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,-1.161941086,-0.72595904,2,0
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,-1.161941086,-0.058545084,17,0
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,-0.623480583,-1.170901678,8,0
2,5,10,20.0,0.0,6,19,2,1,15.79,42.1,0.273953589,0.608868873,5,0
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,0.991900927,0.831340191,1,0
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,-0.443993748,-0.058545084,0,0
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,-0.085020079,1.498754148,15,0
2,6,11,30.0,1.0,6,20,1,2,15.0,20.0,0.146398038,-0.592764593,4,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,1.272536792,0.348131587,10,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,1.272536792,0.912669294,9,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,0.82208129,1.477207002,13,0
2,6,11,30.0,1.0,6,20,2,1,15.0,20.0,-1.655423968,-1.157302301,14,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-1.204968467,-1.345481537,7,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-0.529285214,-0.404585357,12,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-0.078829713,0.724490058,15,0
2,6,11,30.0,1.0,6,20,2,1,15.0,20.0,1.272536792,0.536310822,9,0
2,6,11,30.0,1.0,6,20,1,2,15.0,20.0,-0.078829713,-0.969123065,12,0
2,6,11,30.0,1.0,6,20,1,2,15.0,20.0,0.146398038,-0.216406121,4,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-1.204968467,-1.157302301,2,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,0.146398038,0.912669294,15,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,0.82208129,0.724490058,1,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-1.430196217,-1.533660773,7,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-0.529285214,0.159952351,11,0
2,6,11,30.0,1.0,6,20,2,1,15.0,20.0,-0.304057464,-0.028226885,0,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-0.078829713,-0.028226885,0,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,1.948220044,2.229923946,6,0
2,6,11,30.0,1.0,6,20,1,2,15.0,20.0,-0.754512965,-0.592764593,17,0
3,1,12,40.0,2.0,3,20,2,1,20.0,10.0,-1.047089831,-1.086363109,2,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,1.550342308,0.691321979,9,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-1.371768849,-0.888842544,2,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-1.047089831,-1.283883674,2,0
3,1,12,40.0,2.0,3,20,1,2,20.0,10.0,-0.560071305,0.493801413,11,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-0.397731796,-0.098760283,0,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-0.884750323,-0.296280848,17,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,0.738644765,0.296280848,10,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,0.738644765,0.691321979,1,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,1.550342308,1.48140424,6,0
