Teacher ID,Ethnicity_Comparison,AveAca_Ethnicity_T_p,AveSocio_Ethnicity_T_p
1,"(np.int64(1), np.int64(2))",0.4558166527494314,
1,"(np.int64(1), np.int64(2))",,0.4712435674633222
2,"(np.int64(1), np.int64(2))",0.7900477444428288,
2,"(np.int64(1), np.int64(2))",,0.850286767679114
3,"(np.int64(1), np.int64(2))",0.7023238444736415,
3,"(np.int64(1), np.int64(2))",,0.5559045363417696
4,"(np.int64(1), np.int64(2))",0.7867416077882907,
4,"(np.int64(1), np.int64(2))",,0.1972852212511903
5,"(np.int64(1), np.int64(2))",0.4474334551371446,
5,"(np.int64(1), np.int64(2))",,0.27828392007205477
6,"(np.int64(2), np.int64(1))",0.33026018222417886,
6,"(np.int64(2), np.int64(1))",,0.077997501931803
7,"(np.int64(2), np.int64(1))",0.3074216486655098,
7,"(np.int64(2), np.int64(1))",,0.281140204209907
8,"(np.int64(2), np.int64(1))",0.5244266829143436,
8,"(np.int64(2), np.int64(1))",,0.802271530154013
9,"(np.int64(2), np.int64(1))",0.2678046300636698,
9,"(np.int64(2), np.int64(1))",,0.6326707808943507
10,"(np.int64(1), np.int64(2))",0.38336122520851823,
10,"(np.int64(1), np.int64(2))",,0.2625267970463241
11,"(np.int64(2), np.int64(1))",0.7715012773674076,
11,"(np.int64(2), np.int64(1))",,0.19241843128371833
12,"(np.int64(1), np.int64(2))",0.7182960570070174,
12,"(np.int64(1), np.int64(2))",,0.3915147689426228
13,"(np.int64(1), np.int64(2))",0.7488816120827446,
13,"(np.int64(1), np.int64(2))",,0.6597286978138509
14,"(np.int64(1), np.int64(2))",0.08183042310936471,
14,"(np.int64(1), np.int64(2))",,0.06981197221889357
15,"(np.int64(1), np.int64(2))",0.8245705273228567,
15,"(np.int64(1), np.int64(2))",,0.811530492072113
16,"(np.int64(1), np.int64(2))",0.32231889578989237,
16,"(np.int64(1), np.int64(2))",,0.5747458188236136
17,"(np.int64(1), np.int64(2))",0.6782482758628858,
17,"(np.int64(1), np.int64(2))",,0.48567172391819924
18,"(np.int64(1), np.int64(2))",0.6214129037266862,
18,"(np.int64(1), np.int64(2))",,0.437253002514396
19,"(np.int64(1), np.int64(2))",0.7656008150458626,
19,"(np.int64(1), np.int64(2))",,0.22133349097060911
21,"(np.int64(1), np.int64(2))",0.6281562370450378,
21,"(np.int64(1), np.int64(2))",,0.6950424502629651
22,"(np.int64(1), np.int64(2))",0.0476939798117671,
22,"(np.int64(1), np.int64(2))",,0.1719363298374187
23,"(np.int64(1), np.int64(2))",0.6623762193502731,
23,"(np.int64(1), np.int64(2))",,0.5070242027848595
25,"(np.int64(1), np.int64(2))",0.8353266136587849,
25,"(np.int64(1), np.int64(2))",,0.5460206356059338
26,"(np.int64(1), np.int64(2))",0.7909828260809855,
26,"(np.int64(1), np.int64(2))",,0.8112307479841367
29,"(np.int64(1), np.int64(2))",0.6090776702888776,
29,"(np.int64(1), np.int64(2))",,0.8995593120131493
30,"(np.int64(1), np.int64(2))",0.5292139453941143,
30,"(np.int64(1), np.int64(2))",,0.667039873155312
31,"(np.int64(1), np.int64(2))",0.20117149795800587,
31,"(np.int64(1), np.int64(2))",,0.011263767863896813
32,"(np.int64(2), np.int64(1))",0.414726828001617,
32,"(np.int64(2), np.int64(1))",,0.11992068806777814
33,"(np.int64(1), np.int64(2))",0.7153588596916585,
33,"(np.int64(1), np.int64(2))",,0.4947023759422662
34,"(np.int64(1), np.int64(2))",0.2424217200313539,
34,"(np.int64(1), np.int64(2))",,0.24518745167957173
35,"(np.int64(1), np.int64(2))",0.5500638504477574,
35,"(np.int64(1), np.int64(2))",,0.06638461817832818
36,"(np.int64(1), np.int64(2))",0.7878142677356986,
36,"(np.int64(1), np.int64(2))",,0.6602984776062819
38,"(np.int64(1), np.int64(2))",0.07846202229173092,
38,"(np.int64(1), np.int64(2))",,0.24164557580230836
39,"(np.int64(1), np.int64(2))",0.847217885170179,
39,"(np.int64(1), np.int64(2))",,1.0
40,"(np.int64(1), np.int64(2))",0.69893157387479,
40,"(np.int64(1), np.int64(2))",,0.919872230001504
42,"(np.int64(2), np.int64(1))",0.23831203551255128,
42,"(np.int64(2), np.int64(1))",,0.06137615031188694
43,"(np.int64(2), np.int64(1))",0.9647286510260984,
43,"(np.int64(2), np.int64(1))",,0.363187429566483
44,"(np.int64(1), np.int64(2))",0.4279337993820542,
44,"(np.int64(1), np.int64(2))",,0.732166039061179
45,"(np.int64(1), np.int64(2))",0.4844700508784,
45,"(np.int64(1), np.int64(2))",,0.9436451442859655
46,"(np.int64(1), np.int64(2))",0.9160291007483288,
46,"(np.int64(1), np.int64(2))",,0.4042782555985419
48,"(np.int64(2), np.int64(1))",0.5165730416227424,
48,"(np.int64(2), np.int64(1))",,0.4037062433809482
49,"(np.int64(1), np.int64(2))",0.4642723172167196,
49,"(np.int64(1), np.int64(2))",,0.2577669010670813
50,"(np.int64(1), np.int64(2))",0.712535252772476,
50,"(np.int64(1), np.int64(2))",,0.31699788810769314
51,"(np.int64(1), np.int64(2))",0.3736438967208605,
51,"(np.int64(1), np.int64(2))",,0.3209835930587007
52,"(np.int64(1), np.int64(2))",0.10318744990584205,
52,"(np.int64(1), np.int64(2))",,0.09984303424427657
53,"(np.int64(1), np.int64(2))",0.1098597641612282,
53,"(np.int64(1), np.int64(2))",,0.03230217713779393
54,"(np.int64(1), np.int64(2))",0.9027224947199188,
54,"(np.int64(1), np.int64(2))",,0.9014003379087099
55,"(np.int64(1), np.int64(2))",0.8342548326015089,
55,"(np.int64(1), np.int64(2))",,0.9419842533122831
